City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
259,palikir - national government center,6.9248,158.1611,81.23,80,100,9.98,FM,1689868998
260,tougue,11.4667,-11.6,78.66,73,100,3.18,GN,1689869120
261,oamaru,-45.0784,170.9801,42.39,83,97,11.07,NZ,1689869120
262,choibalsan,48.0667,114.5,64.38,58,100,6.35,MN,1689869120
263,ta`u,-14.2336,-169.5144,79.21,79,100,22.3,AS,1689869120
264,mawlaik,23.6333,94.4167,76.6,98,100,1.19,MM,1689869121
265,okha,53.5739,142.9478,51.8,94,100,12.37,RU,1689869126
266,darwin,-12.4611,130.8418,73.38,88,10,4.61,AU,1689869126
267,tommot,58.9564,126.2925,53.53,97,100,3.96,RU,1689869126
268,puerto colombia,10.9878,-74.9547,93.29,72,5,17.07,CO,1689869126
269,machico,32.7,-16.7667,78.71,63,40,14.97,PT,1689869127
270,labasa,-16.4167,179.3833,76.62,93,100,8.99,FJ,1689869127
271,nadym,65.5333,72.5167,74.82,59,71,7.99,RU,1689869127
272,sao tome,0.3365,6.7273,82.44,78,75,16.11,ST,1689869127
273,uige,-7.6087,15.0613,85.32,27,8,5.93,AO,1689869127
274,serowe,-22.3833,26.7167,56.62,65,65,15.17,BW,1689869128
275,zindah jan,34.3426,61.7468,87.64,23,0,23.02,AF,1689869128
276,selfoss,63.9331,-20.9971,67.05,69,96,10.42,IS,1689869128
277,hartford,41.7668,-72.7662,85.26,60,0,3.44,US,1689869070
278,hacienda huancane,-15.8222,-70.8856,49.86,15,0,7.49,PE,1689869129
279,lompoc,34.6391,-120.4579,72.93,84,100,6.91,US,1689868907
280,phatthalung,7.5,100.0833,77.27,91,100,4.59,TH,1689869134
281,laguna,38.421,-121.4238,87.08,64,0,0.0,US,1689868932
282,kapa'a,22.0752,-159.319,79.12,86,75,16.11,US,1689868953
283,saint-pierre,-21.3393,55.4781,73.08,83,0,2.3,RE,1689869134
284,ilebo,-4.3167,20.5833,92.46,25,38,0.72,CD,1689869134
285,sandnessjoen,66.0217,12.6316,63.12,82,75,6.91,NO,1689869135
286,weatherford,32.7593,-97.7972,95.09,46,99,13.76,US,1689869040
287,kingston,17.997,-76.7936,86.95,70,40,19.57,JM,1689869135
288,jinghong,21.991,100.7341,72.64,97,94,2.28,CN,1689869135
289,andergrove,-21.0833,149.1833,66.65,80,84,5.19,AU,1689869135
290,katsuura,35.1333,140.3,74.07,91,4,10.09,JP,1689869135
291,san andres,12.5847,-81.7006,87.82,74,20,14.97,CO,1689869136
292,callao,-12.0667,-77.15,73.69,60,75,9.22,PE,1689869117
293,kirando,-7.4167,30.6,75.42,51,4,4.88,TZ,1689869136
294,walvis bay,-22.9575,14.5053,58.62,67,7,3.67,NA,1689869136
295,dien bien phu,21.3833,103.0167,74.88,99,100,1.9,VN,1689869136
296,porto novo,6.4965,2.6036,84.02,71,78,13.15,BJ,1689868979
297,celendin,-6.8703,-78.1517,64.92,53,20,4.99,PE,1689869136
298,hamilton,39.1834,-84.5333,84.99,74,40,4.61,US,1689869075
299,misawa,40.6836,141.3597,66.6,95,5,3.71,JP,1689869137
300,guaruja,-23.9931,-46.2564,73.89,26,100,9.22,BR,1689869137
301,turpan,42.9333,89.1667,102.61,15,95,13.47,CN,1689869137
302,naze,28.3667,129.4833,77.92,83,95,4.23,JP,1689869137
303,soller,39.7662,2.7152,93.34,60,56,4.0,ES,1689869137
304,mordovo,52.0834,40.77,67.75,69,73,5.97,RU,1689869137
305,cam ranh,11.9214,109.1591,84.16,79,20,1.14,VN,1689869138
306,hadibu,12.65,54.0333,77.43,79,100,17.11,YE,1689869138
307,tralee,52.2704,-9.7026,61.05,67,40,6.91,IE,1689868856
308,caleta de carquin,-11.0925,-77.6267,70.43,69,29,8.61,PE,1689869138
309,el granada,37.5027,-122.4694,72.81,87,100,5.75,US,1689869138
310,talara,-4.5772,-81.2719,81.36,65,0,19.57,PE,1689869138
311,usogorsk,63.4106,48.6872,63.91,96,93,8.3,RU,1689869138
312,ferkessedougou,9.6,-5.2,91.74,45,72,4.23,CI,1689869139
313,salekhard,66.53,66.6019,67.46,85,98,10.87,RU,1689869139
314,kuqa,41.7278,82.9364,88.86,22,58,14.92,CN,1689869139
315,noshiro,40.2039,140.0242,67.44,96,6,5.41,JP,1689869139
316,murzuq,25.9155,13.9184,99.72,12,0,12.75,LY,1689869139
317,oxapampa,-10.5775,-75.4017,69.15,65,31,4.88,PE,1689869139
318,mukalla,14.5425,49.1242,91.98,52,92,7.11,YE,1689869140
319,baukau,51.5526,7.2042,74.39,54,85,5.99,DE,1689869140
320,general conesa,-40.1,-64.4333,59.31,37,66,23.2,AR,1689869140
321,karratha,-20.7377,116.8463,67.66,50,2,7.72,AU,1689869140
322,sovetskiy,61.3614,63.5842,67.68,76,64,4.7,RU,1689869140
323,al jawf,29.5,38.75,98.58,11,0,11.16,SA,1689869140
324,sokoto,13.0609,5.239,98.24,33,45,10.67,NG,1689868864
325,kozan,37.4552,35.8157,91.31,39,0,8.32,TR,1689869141
326,victoria point,-27.5833,153.3,52.92,79,0,5.75,AU,1689869141
327,mejit,10.2753,170.8646,83.05,81,95,16.33,MH,1689869110
328,emerald,-23.5333,148.1667,62.35,67,43,6.06,AU,1689869141
329,taroa,8.7058,171.2275,83.34,81,100,17.6,MH,1689869141
330,cabo san lucas,22.8909,-109.9124,94.6,43,20,8.05,MX,1689869008
331,yanchep,-31.55,115.6833,53.13,77,99,8.75,AU,1689869141
332,port alfred,-33.5906,26.891,50.18,73,63,11.54,ZA,1689869142
333,rundu,-17.9333,19.7667,74.61,20,23,2.68,NA,1689869142
334,alofi,-19.0595,-169.9187,73.29,73,96,9.22,NU,1689869142
335,pandan,14.0453,124.1694,80.74,85,100,5.7,PH,1689869142
336,dame-marie,18.5667,-74.4167,87.78,62,13,2.48,HT,1689869142
337,itoman,26.1247,127.6694,82.42,83,86,4.61,JP,1689869142
338,ostersund,63.1792,14.6357,57.65,33,0,5.75,SE,1689869142
339,kayangel,8.0823,134.7173,83.57,79,100,21.63,PW,1689869142
340,remire-montjoly,4.9167,-52.2667,89.64,62,75,10.36,GF,1689868913
341,tidjikja,18.5564,-11.4271,100.04,25,60,19.64,MR,1689869143
342,kerikeri,-35.2268,173.9474,45.91,95,6,1.9,NZ,1689869143
343,bikenibeu village,1.3673,173.1241,78.76,94,75,2.3,KI,1689868923
344,gorontalo,0.5412,123.0595,75.06,94,24,2.95,ID,1689869143
345,galle,6.0367,80.217,80.02,88,91,11.16,LK,1689869089
346,safford,32.834,-109.7076,102.11,27,0,3.44,US,1689869143
347,el calafate,-50.3408,-72.2768,37.99,94,100,1.54,AR,1689869143
348,saint-francois,46.4154,3.9054,81.84,34,0,3.44,FR,1689869031
349,axim,4.8699,-2.2405,80.31,76,35,10.45,GH,1689869144
350,purpe,64.4803,76.6897,73.78,50,46,11.83,RU,1689869144
351,shihezi,44.3,86.0333,85.08,35,100,8.39,CN,1689869144
352,tukrah,32.5341,20.5791,85.84,64,0,10.09,LY,1689869144
353,medea,36.2642,2.7539,99.16,16,1,9.89,DZ,1689869144
354,chonchi,-42.6128,-73.8092,55.11,87,97,10.63,CL,1689869144
355,kardla,58.9978,22.7492,64.38,55,40,9.22,EE,1689869144
356,flying fish cove,-10.4217,105.6791,74.88,83,75,12.66,CX,1689869145
357,ancud,-41.8697,-73.8203,52.68,88,76,27.78,CL,1689868846
358,borujen,31.9652,51.2873,85.28,16,78,4.45,IR,1689869145
359,enriquillo,17.9,-71.2333,91.08,70,5,15.86,DO,1689869145
360,dzilam gonzalez,21.2833,-88.9333,91.9,51,50,3.74,MX,1689869145
361,amahai,-3.3333,128.9167,82.0,87,64,6.6,ID,1689869145
362,macclenny,30.2822,-82.1221,94.78,63,3,1.01,US,1689869145
363,ternate,0.8,127.4,81.23,81,16,5.46,ID,1689869146
